"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"舊密碼輸入錯誤","252","變更密碼失敗-舊密碼輸入錯誤","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestChangePassword","test_change_password","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","342","帳號留空","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","324","密碼留空","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"驗證載入 storage_state 後可直接進入商品頁，不需重新登入","385","test_directly_on_inventory_without_login[webkit]","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoggedInState","test_logged_in_state","",""
"測試請求的 data 中不包含 item_id 欄位","2","請求中不帶 item_id","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestItemWS","test_get_item","",""
"密碼輸入21碼英數","249","格式錯誤 - 密碼過長-邊界值(21碼)","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestChangePassword","test_change_password","",""
"輸入正確的帳號及錯誤的密碼，驗證是否顯示錯誤訊息","344","密碼錯誤","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"使用 item_id=0 測試邊界值","4","使用 item_id=0","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestGetItem","test_get_item","",""
"測試是否能成功獲取所有物品的列表","4","成功獲取所有物品列表","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestGetItem","test_get_item","",""
"反向測試：帳號長度超過20碼","4","格式錯誤 - 帳號過長","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"手機號碼包含非數字字元","2","格式錯誤 - 包含非數字字元","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"手機號碼開頭不是09","2","格式錯誤 - 非09開頭","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"密碼輸入全英","250","格式錯誤 - 密碼全英","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestChangePassword","test_change_password","",""
"測試連線後，是否可以成功獲取所有物品的列表。","2","成功獲取所有物品列表","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestItemWS","test_get_item","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","361","密碼留空","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"輸入正確的帳號密碼，驗證是否可以成功登入","711","UI 登入成功","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"反向測試：密碼全英","3","格式錯誤 - 密碼全英","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"手機號碼長度不足10碼","1","格式錯誤 - 長度不足 (9碼)","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"驗證載入 storage_state 後可直接進入商品頁，不需重新登入","293","test_directly_on_inventory_without_login[chromium]","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoggedInState","test_logged_in_state","",""
"模擬使用者從登入、瀏覽、加入購物車到完成結帳的完整流程。","4470","UI 成功購買商品","testcases.ui_test.scenario","2026-08-07","passed","2026-08-07","TestProductPurchase","test_purchase_a_product","",""
"輸入正確的帳號密碼，驗證是否可以成功登入","320","UI 登入成功","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"使用 item_id=1 測試是否能成功獲取物品","4","獲取存在的物品","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestGetItem","test_get_item","",""
"密碼輸入全數","250","格式錯誤 - 密碼全數","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestChangePassword","test_change_password","",""
"名稱使用 - 2碼","2","格式錯誤 - 2碼","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestUpdateName","test_update_name","",""
"測試登入後, 是否可以成功使用4碼變更名稱","3","變更名稱成功-4碼","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestUpdateName","test_update_name","",""
"反向測試：密碼全數","3","格式錯誤 - 密碼全數","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"反向測試：密碼長度6碼","3","格式錯誤 - 密碼過短","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"輸入正確的帳號密碼測試是否可以登入","249","登入成功","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestLogin","test_login","",""
"反向測試：使用已知的重複帳號","3","已存在帳號","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"密碼輸入6碼英數","249","格式錯誤 - 密碼過短-邊界值(6碼)","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestChangePassword","test_change_password","",""
"測試登入後, 是否可以成功使用12碼變更名稱","4","變更名稱成功-12碼","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestUpdateName","test_update_name","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","283","密碼留空","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"測試登入後，是否可以成功取得使用者自己的資訊","2","取得使用者資訊成功","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestGetUserInfo","test_get_user_info","",""
"輸入不存在的帳號，驗證是否顯示錯誤訊息","326","帳號錯誤","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","437","帳號留空","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"使用一個極大的 item_id 測試物品不存在的情境","4","獲取不存在的物品","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestGetItem","test_get_item","",""
"輸入正確的帳號密碼，驗證是否可以成功登入","405","UI 登入成功","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"反向測試：密碼長度21碼","3","格式錯誤 - 密碼過長","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"驗證載入 storage_state 後可直接進入商品頁，不需重新登入","343","test_directly_on_inventory_without_login[firefox]","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoggedInState","test_logged_in_state","",""
"帳號5~20英數, 密碼7~20英數","252","註冊成功 - 動態新帳號","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"輸入一個不存在的隨機帳號","4","帳號有誤","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestLogin","test_login","",""
"請求中未帶入手機號碼","2","格式錯誤 - 未提供手機號碼","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"輸入正確格式的舊密碼新密碼","495","變更密碼成功","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestChangePassword","test_change_password","",""
"名稱使用 - 13碼","2","格式錯誤 - 13碼","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestUpdateName","test_update_name","",""
"輸入正確的帳號及錯誤的密碼，驗證是否顯示錯誤訊息","400","密碼錯誤","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"依序測試 1.註冊 -> 2.登入 -> 3.驗證初始資料 -> 4.變更名稱後驗證名稱 -> 5.變更密碼 -> 6.驗證新密碼 -> 7.還原密碼","1781","從註冊到變更密碼的完整使用者流程","testcases.api_test.scenario","2026-08-07","passed","2026-08-07","TestUserProfileScenario","test_user_profile_scenario","",""
