"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"密碼輸入6碼英數","228","格式錯誤 - 密碼過短-邊界值(6碼)","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestChangePassword","test_change_password","",""
"測試登入後, 是否可以成功使用4碼變更名稱","63","變更名稱成功-4碼","testcases.api_test.ws","2026-08-02","passed","2026-08-02","TestUpdateName","test_update_name","",""
"手機號碼長度不足10碼","1","格式錯誤 - 長度不足 (9碼)","testcases.api_test.ws","2026-08-02","passed","2026-08-02","TestBindPhone","test_bind_phone","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","334","密碼留空","testcases.ui_test.single_page","2026-08-02","passed","2026-08-02","TestLoginPage","test_login","",""
"帳號5碼","230","註冊成功 - 帳號5碼, 密碼7碼(邊界值)","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestRegister","test_register","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","221","帳號留空","testcases.ui_test.single_page","2026-08-02","passed","2026-08-02","TestLoginPage","test_login","",""
"密碼輸入21碼英數","228","格式錯誤 - 密碼過長-邊界值(21碼)","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestChangePassword","test_change_password","",""
"名稱使用 - 13碼","1","格式錯誤 - 13碼","testcases.api_test.ws","2026-08-02","passed","2026-08-02","TestUpdateName","test_update_name","",""
"密碼輸入全數","227","格式錯誤 - 密碼全數","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestChangePassword","test_change_password","",""
"輸入正確的帳號密碼測試是否可以登入","228","登入成功","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestLogin","test_login","",""
"使用一個極大的 item_id 測試物品不存在的情境","1","獲取不存在的物品","testcases.api_test.ws","2026-08-02","passed","2026-08-02","TestItemWS","test_get_item","",""
"手機號碼開頭不是09","2","格式錯誤 - 非09開頭","testcases.api_test.ws","2026-08-02","passed","2026-08-02","TestBindPhone","test_bind_phone","",""
"依序測試 1.註冊 -> 2.登入 -> 3.驗證初始資料 -> 4.變更名稱後驗證名稱 -> 5.變更密碼 -> 6.驗證新密碼 -> 7.還原密碼","1626","從註冊到變更密碼的完整使用者流程","testcases.api_test.scenario","2026-08-02","passed","2026-08-02","TestUserProfileScenario","test_user_profile_scenario","",""
"反向測試：帳號長度超過20碼","2","格式錯誤 - 帳號過長","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestRegister","test_register","",""
"帳號20碼","230","註冊成功 - 帳號20碼, 密碼20碼(邊界值)","testcases.api_test.http","2026-08-02","passed","2026-08-02","TestRegister","test_register","",""
"手機號碼長度超過10碼","2","格式錯誤 - 長度過長 (11碼)","testcases.api_test.ws","2026-08-02","passed","2026-08-02","TestBindPhone","test_bind_phone","",""
